size,scenario,label,oneShotMs,appendWorkloadMs,appendLineMs,replaceParagraphMs
5000,S1,"stream ON, cache OFF, chunk ON",0.0020902999999999378,1.6957843333333358,2.3344723333333377,0.2888056666666661
5000,S2,"stream ON, cache ON, chunk OFF",0.00036806666666677756,0.4635899999999964,1.1348193333333445,0.33726399999999995
5000,S3,"stream ON, cache ON, chunk ON",0.00029860000000023017,1.0969509999999996,1.7873189999999728,0.18545800000000176
5000,S4,"stream OFF, chunk ON",0.2568430666666662,0.8317010000000096,1.5212926666666629,0.19359733333333415
5000,S5,"stream OFF, chunk OFF",0.12010973333333368,0.5475484999999859,1.437792000000049,0.1362223333333361
5000,M1,markdown-it (baseline),0.4021055666666664,1.007750333333334,1.267360999999994,0.3718056666666693
5000,E1,markdown-exit,0.4173180666666667,0.5077701666666741,1.729833000000023,0.3192636666666715
5000,R1,remark (parse only),4.359126399999999,11.088597666666686,38.98634633333322,6.1666106666666565
20000,S1,"stream ON, cache OFF, chunk ON",0.00026459999999701723,2.2240250000000517,5.9814580000002024,0.6383955000000014
20000,S2,"stream ON, cache ON, chunk OFF",0.00012710000000311085,0.895057799999995,3.471499999999992,0.5035829999999919
20000,S3,"stream ON, cache ON, chunk ON",0.00012915000000361941,0.9360829999999168,3.456001000000242,0.7487500000000296
20000,S4,"stream OFF, chunk ON",0.6156499999999994,2.172808599999962,5.8763544999997634,0.5919999999999845
20000,S5,"stream OFF, chunk OFF",0.48721874999999953,1.6295998000000964,4.67972849999984,0.4533330000000433
20000,M1,markdown-it (baseline),0.5354853999999989,1.5789165999999568,4.33045850000002,0.591604000000018
20000,E1,markdown-exit,0.6547041500000035,2.0438661999999113,5.760833499999876,0.6254165000000285
20000,R1,remark (parse only),16.5512604,49.88878300000001,141.07795750000014,21.53927049999993
50000,S1,"stream ON, cache OFF, chunk ON",0.00026250000000800356,5.366802499999949,14.85395800000083,1.527146000000016
50000,S2,"stream ON, cache ON, chunk OFF",0.00011660000000119908,2.185634999999934,3.517895000000408,1.3536249999999654
50000,S3,"stream ON, cache ON, chunk ON",0.0002457999999933236,2.1364067500000488,3.7608129999999846,1.7042920000000095
50000,S4,"stream OFF, chunk ON",1.7082292000000052,5.317020500000126,13.899395499999855,1.3818955000000415
50000,S5,"stream OFF, chunk OFF",1.3722791000000143,4.360520000000008,11.550645999999688,1.3342919999998912
50000,M1,markdown-it (baseline),1.2018708999999945,3.969937499999787,10.667269500000543,1.3567085000001953
50000,E1,markdown-exit,1.6057874999999968,5.25594824999996,14.066667999999481,1.6576669999999467
50000,R1,remark (parse only),48.29597920000001,156.43654174999983,422.95589650000056,45.394291500000236
100000,S1,"stream ON, cache OFF, chunk ON",0.0008193333333110786,11.568125333333834,30.78004200000032,5.092083000000457
100000,S2,"stream ON, cache ON, chunk OFF",0.00038883333339375287,4.175818666666601,6.558247999998457,3.436812999999802
100000,S3,"stream ON, cache ON, chunk ON",0.0002291666667891453,4.109959333333488,6.528920000003382,3.8669589999999516
100000,S4,"stream OFF, chunk ON",3.8671598333333654,11.238276999999167,29.684918999998445,3.4630624999995234
100000,S5,"stream OFF, chunk OFF",4.2069443333334675,10.69975066666666,28.038917000000765,3.2763749999999163
100000,M1,markdown-it (baseline),3.1600208333334194,8.223151999999876,22.088669999997364,2.687208499999997
100000,E1,markdown-exit,3.6645764999999906,10.619999333333604,29.045584000002236,3.2963125000001128
100000,R1,remark (parse only),107.08106950000001,329.2183473333319,932.9089139999987,102.13706250000041
200000,S1,"stream ON, cache OFF, chunk ON",8.205625000000055,26.2967505000006,78.1532880000068,8.378875499999594
200000,S2,"stream ON, cache ON, chunk OFF",7.95056250000016,22.314061999999467,28.091166000003795,7.685500000000502
200000,S3,"stream ON, cache ON, chunk ON",7.919770750000225,20.016790500000752,25.599331999999777,7.463209000000461
200000,S4,"stream OFF, chunk ON",8.770208249999996,29.10583449999831,68.74816599999758,10.131083000000217
200000,S5,"stream OFF, chunk OFF",6.535145750000083,28.240875500000584,73.80450100000235,6.851667000000816
200000,M1,markdown-it (baseline),6.427166750000197,25.34216699999979,52.16478899999311,4.700416499999847
200000,E1,markdown-exit,7.539739499999996,23.790000999998483,63.483044000004156,6.245937999999114
200000,R1,remark (parse only),336.4037394999996,960.4883959999988,2391.217957000006,239.86935400000038
